seed,n_cal,final_reward,T
0,2,0.9155848098354034,1000
0,4,0.914443829208033,1000
0,8,0.9155093008348727,1000
0,16,0.9165878912680835,1000
0,32,0.9157179238714473,1000
0,64,0.9160297662594171,1000
0,128,0.9158849920782096,1000
0,250,0.9159523013532278,1000
1,2,0.9157662326258663,1000
1,4,0.9162411068616021,1000
1,8,0.9157109874725612,1000
1,16,0.9160320149731186,1000
1,32,0.9161220875396628,1000
1,64,0.9155823171710621,1000
1,128,0.9157057191975231,1000
1,250,0.915714302089998,1000
2,2,0.9140943297426787,1000
2,4,0.9155196266031776,1000
2,8,0.9157879733322086,1000
2,16,0.9154388523795494,1000
2,32,0.915525789295063,1000
2,64,0.915621857794138,1000
2,128,0.9156583248030463,1000
2,250,0.9158233988425485,1000
3,2,0.9132019327003829,1000
3,4,0.9167517888677245,1000
3,8,0.9162475629851524,1000
3,16,0.9154252295368406,1000
3,32,0.9158984418240752,1000
3,64,0.9153815060534058,1000
3,128,0.9158375671305831,1000
3,250,0.9157997211121759,1000
4,2,0.9146391492951079,1000
4,4,0.9168569243666878,1000
4,8,0.9157435699993144,1000
4,16,0.9156846542576588,1000
4,32,0.9152201828300268,1000
4,64,0.9157365604864869,1000
4,128,0.9157070126481628,1000
4,250,0.9157552376614291,1000
