task_id,success,progress,n_cheap,n_refine,cum_cost,memory_size,drift_detected,coverage_t,precision_t,no_retrieval_window_flag_t,redundancy_t,freshness_t,mqc_t,ole_mean_t,ole_var_t,ole_ucb_t,cusum_stat_t,drift_onset_flag_t,retries_t
alfworld-0,True,0.6666666666666666,1,0,1,1,False,1.0,nan,True,0.0,1.0,,,,,,False,0
alfworld-1,True,0.6666666666666666,1,0,2,2,False,1.0,1.0,False,0.0,0.9093653765389909,,,,,,False,0
alfworld-2,True,0.6666666666666666,1,0,3,3,False,1.0,0.35355339059327373,False,0.0,0.8296835997045404,,,,,,False,0
alfworld-3,False,0.3333333333333333,1,0,4,4,False,1.0,0.19245008972987523,False,0.0,0.7594656088019118,,,,,,False,0
alfworld-4,True,0.6666666666666666,1,3,8,5,False,1.0,0.1111111111111111,False,0.0,0.7336921292493775,,,,,,False,0
alfworld-5,True,0.6666666666666666,1,3,12,7,False,1.0,0.06775963568181181,False,0.047619047619047616,0.7147830782198078,,,,,,False,0
alfworld-6,True,0.6666666666666666,1,0,13,8,False,1.0,0.035996616477069254,False,0.03571428571428571,0.6370630269285136,,,,,,False,0
alfworld-7,True,0.6666666666666666,1,3,17,9,False,1.0,0.048526935963782665,False,0.027777777777777776,0.611371632036325,,,,,,False,0
alfworld-8,True,0.6666666666666666,1,0,18,10,False,1.0,0.04938271604938271,False,0.022222222222222223,0.5504938810368536,,,,,,False,0
alfworld-9,False,0.5,1,3,22,11,False,1.0,0.02007795339789447,False,0.01818181818181818,0.530612968347782,,,,,,False,0
alfworld-10,True,0.6666666666666666,1,3,26,12,False,1.0,0.02621837778937075,False,0.045454545454545456,0.4966658294811308,,,,,,False,0
alfworld-11,False,0.5,1,0,27,13,False,1.0,0.02590674284825244,False,0.038461538461538464,0.4522790048607878,,,,,,False,0
alfworld-12,False,0.3333333333333333,1,3,31,13,False,1.0,0.025503457297711685,False,0.038461538461538464,0.4095985149346006,,,,,,False,0
alfworld-13,True,0.6666666666666666,1,0,32,14,False,1.0,0.020875813836433357,False,0.03296703296703297,0.3828258362640265,,,,,,False,0
alfworld-14,True,0.6666666666666666,1,3,36,14,False,1.0,0.03144249904852051,False,0.03296703296703297,0.3605284215027776,,,,,,False,0
alfworld-15,True,0.6666666666666666,1,0,37,15,False,1.0,0.01527207096642425,False,0.02857142857142857,0.3421639923067861,,,,,,False,0
alfworld-16,False,0.3333333333333333,1,3,41,16,False,1.0,0.018119220333134112,False,0.025,0.3457364187766824,,,,,,False,0
alfworld-17,True,0.6666666666666666,1,0,42,17,False,1.0,0.012499999999999999,False,0.022058823529411766,0.3252376833049578,,,,,,False,0
alfworld-18,True,0.6666666666666666,1,0,43,18,False,1.0,0.018801211243126587,False,0.026143790849673203,0.3070441993048504,,,,,,False,0
alfworld-19,False,0.3333333333333333,1,0,44,19,False,1.0,0.015371886547533643,False,0.029239766081871343,0.29078723755008157,,,,,,False,0
alfworld-20,True,0.6666666666666666,1,0,45,20,False,1.0,0.026531071263942513,False,0.031578947368421054,0.27617263128560204,,,,,,False,0
alfworld-21,True,0.6666666666666666,1,0,46,21,False,1.0,0.022934030538459382,False,0.0380952380952381,0.26296288227808456,,,,,,False,0
alfworld-22,True,0.6666666666666666,1,0,47,22,False,1.0,0.01851545735335693,False,0.03463203463203463,0.25096417142822497,,,,,,False,0
alfworld-23,True,0.6666666666666666,1,0,48,23,False,1.0,0.017154080626313486,False,0.03162055335968379,0.24001677702254318,,,,,,False,0
alfworld-24,False,0.5,1,0,49,24,False,1.0,0.010254807248708595,False,0.028985507246376812,0.22998790341122444,,,,,,False,0
alfworld-25,False,0.5,1,0,50,25,False,1.0,0.018073492025743935,False,0.02666666666666667,0.22076624258435004,,,,,,False,0
alfworld-26,False,0.5,1,3,54,22,False,1.0,0.008955223880597015,False,0.025974025974025976,0.20510838507289,,,,,,False,0
alfworld-27,False,0.5,1,3,58,22,False,1.0,0.020970562264486275,False,0.025974025974025976,0.18440756502079214,,,,,,False,0
alfworld-28,False,0.5,1,0,59,23,False,1.0,0.021097987556023948,False,0.02766798418972332,0.1878940513400218,,,,,,False,0
alfworld-29,True,1.0,1,0,60,24,False,1.0,0.01971031774668866,False,0.025362318840579712,0.18909152822946865,,,,,,False,0
alfworld-30,False,0.5,1,0,61,25,False,1.0,0.004860098695998369,False,0.023333333333333334,0.18862244733566016,,,,,,False,0
alfworld-31,True,0.6666666666666666,1,0,62,26,False,1.0,0.014611872146118721,False,0.024615384615384615,0.18695288303320867,,,,,,False,0
alfworld-32,True,0.6666666666666666,1,0,63,27,False,1.0,0.00602110941213723,False,0.02849002849002849,0.184432071948624,,,,,,False,0
alfworld-33,True,0.6666666666666666,1,0,64,28,False,1.0,0.010556334035815941,False,0.0291005291005291,0.18132163025972128,,,,,,False,0
alfworld-34,True,0.6666666666666666,1,0,65,29,False,1.0,0.010755086630343863,False,0.027093596059113302,0.17781726403352868,,,,,,False,0
alfworld-35,True,0.6666666666666666,1,0,66,30,False,1.0,0.01674899128655762,False,0.02528735632183908,0.174064980409356,,,,,,False,0
alfworld-36,False,0.3333333333333333,1,0,67,31,False,1.0,0.015214515486254613,False,0.023655913978494623,0.17017324435005438,,,,,,False,0
alfworld-37,False,0.3333333333333333,1,3,71,27,False,1.0,0.010526318067503293,False,0.02564102564102564,0.16481227817140387,,,,,,False,0
alfworld-38,False,0.3333333333333333,1,3,75,27,False,1.0,0.0067923561081132434,False,0.02849002849002849,0.14836423224762452,,,,,,False,0
alfworld-39,True,0.6666666666666666,1,0,76,28,False,1.0,0.013121597027036948,False,0.0291005291005291,0.15284641818372227,,,,,,False,0
alfworld-40,False,0.3333333333333333,1,0,77,29,False,1.0,0.017998308238534627,False,0.029556650246305417,0.1553076470970783,,,,,,False,0
alfworld-41,True,0.6666666666666666,1,0,78,30,False,1.0,0.007243435177119045,False,0.03218390804597701,0.15624997530434165,,,,,,False,0
alfworld-42,True,0.6666666666666666,1,0,79,31,False,1.0,0.010665845907889833,False,0.030107526881720432,0.15605805801549005,,,,,,False,0
alfworld-43,True,0.6666666666666666,1,0,80,32,False,1.0,0.004789474720713998,False,0.028225806451612902,0.15502673350781862,,,,,,False,0
alfworld-44,True,0.6666666666666666,1,0,81,33,False,1.0,0.014302321625941495,False,0.032196969696969696,0.15338196777898275,,,,,,False,0
alfworld-45,False,0.5,1,3,85,31,False,1.0,0.009306038211468123,False,0.025806451612903226,0.16070400131116222,,,,,,False,0
alfworld-46,True,1.0,1,0,86,32,False,1.0,0.017508692964874284,False,0.024193548387096774,0.15871164214062866,,,,,,False,0
alfworld-47,True,0.6666666666666666,1,0,87,33,False,1.0,0.0048654136320175284,False,0.02462121212121212,0.15630749313167525,,,,,,False,0
alfworld-48,True,0.6666666666666666,1,0,88,34,False,1.0,0.0067351474030478324,False,0.0285204991087344,0.15362158239979773,,,,,,False,0
alfworld-49,True,0.6666666666666666,1,0,89,35,False,1.0,0.003976778785913249,False,0.030252100840336135,0.15075257916586854,,,,,,False,0
alfworld-50,False,0.3333333333333333,1,0,90,36,False,1.0,0.010982230428675641,False,0.02857142857142857,0.14777505676144964,,,,,,False,0
alfworld-51,False,0.5,1,0,91,37,False,1.0,0.005050505050505051,False,0.02702702702702703,0.14474506503524198,,,,,,False,0
alfworld-52,False,0.3333333333333333,1,3,95,33,False,1.0,0.011932184562485612,False,0.026515151515151516,0.10563127065032811,,,,,,False,0
alfworld-53,True,0.6666666666666666,1,0,96,34,False,1.0,0.005661061982299116,False,0.024955436720142603,0.11335170006906468,,,,,,False,0
alfworld-54,True,0.6666666666666666,1,0,97,35,False,1.0,0.011342499017361694,False,0.025210084033613446,0.11872439353849444,,,,,,False,0
alfworld-55,True,0.6666666666666666,1,0,98,36,False,1.0,0.008735444493318,False,0.025396825396825397,0.12228099790465105,,,,,,False,0
alfworld-56,True,0.6666666666666666,1,0,99,37,False,1.0,0.006313131313131313,False,0.025525525525525526,0.12443642394750473,,,,,,False,0
alfworld-57,False,0.5,1,0,100,38,False,1.0,0.00730662165801588,False,0.02418207681365576,0.12551466584969073,,,,,,False,0
alfworld-58,False,0.5,1,0,101,39,False,1.0,0.0015673567259010875,False,0.022941970310391364,0.12576880107566782,,,,,,False,0
alfworld-59,True,0.6666666666666666,1,0,102,40,False,1.0,0.003785535550947686,False,0.02435897435897436,0.1253965155879365,,,,,,False,0
alfworld-60,True,0.6666666666666666,1,0,103,41,False,1.0,0.0047580566646052,False,0.025609756097560974,0.12455217916162549,,,,,,False,0
alfworld-61,True,0.6666666666666666,1,0,104,42,False,1.0,0.009561658891139148,False,0.024390243902439025,0.12335625421767989,,,,,,False,0
alfworld-62,True,0.6666666666666666,1,0,105,43,False,1.0,0.002743170665992745,False,0.026578073089700997,0.12190263893781027,,,,,,False,0
alfworld-63,True,0.6666666666666666,1,0,106,44,False,1.0,0.0059803360914746926,False,0.026427061310782242,0.12026440666657065,,,,,,False,0
alfworld-64,True,0.6666666666666666,1,0,107,45,False,1.0,0.005476167583143143,False,0.026262626262626262,0.11849829783329587,,,,,,False,0
alfworld-65,True,0.6666666666666666,1,0,108,46,False,1.0,0.007500437660376652,False,0.02705314009661836,0.11664823974039346,,,,,,False,0
alfworld-66,True,0.6666666666666666,1,0,109,47,False,1.0,0.004550677659101763,False,0.027752081406105456,0.11474810752600366,,,,,,False,0
alfworld-67,False,0.0,1,3,113,40,False,1.0,0.0035361210060095645,False,0.03076923076923077,0.10195424070209738,,,,,,False,0
alfworld-68,True,0.6666666666666666,1,0,114,41,False,1.0,0.006069017731636282,False,0.03048780487804878,0.10582738758002147,,,,,,False,0
